Area,IEPN,TNodes,Lifetime,Throughput,RemainEngy,ConsmEngy,DeadNodes,AliveNodes,CH,CEPM,CEPR,CEPP,EPN,ALT,ATP,TPPR
40000,0.5,50,810,366373,0,25,50,0,9,0.000625,0.030864198,6.82E-05,0.5,16.2,7327.46,452.3123457
10000,0.5,50,1325,583938,0,25,50,0,3,0.0025,0.018867925,4.28E-05,0.5,26.5,11678.76,440.7079245
10000,1,50,2683,1171321,0,50,50,0,3,0.005,0.018635855,4.27E-05,1,53.66,23426.42,436.5713753
40000,1,50,1628,738347,0,50,50,0,7,0.00125,0.030712531,6.77E-05,1,32.56,14766.94,453.5300983
40000,1,60,3326,923935,0,60,60,0,8,0.0015,0.018039687,6.49E-05,1,55.43333333,15398.91667,277.7916416
40000,0.5,60,1278,459482,0,30,59,1,8,0.00075,0.023474178,6.53E-05,0.5,21.3,7658.033333,359.5320814
40000,0.5,70,1149,574720,0,35,70,0,9,0.000875,0.030461271,6.09E-05,0.5,16.41428571,8210.285714,500.1914708
40000,0.5,80,1234,737892,0,40,80,0,11,0.001,0.032414911,5.42E-05,0.5,15.425,9223.65,597.9675851
40000,1,80,2638,1534792,0,80,80,0,11,0.002,0.030326005,5.21E-05,1,32.975,19184.9,581.8013647
40000,1,90,3535,1612388,0,90,90,0,9,0.00225,0.025459689,5.58E-05,1,39.27777778,17915.42222,456.121075
40000,1,100,2488,1766380,0,100,100,0,11,0.0025,0.040192926,5.66E-05,1,24.88,17663.8,709.9598071
40000,0.5,100,1336,938935,0,50,100,0,11,0.00125,0.03742515,5.33E-05,0.5,13.36,9389.35,702.7956587
40000,0.5,90,1295,806503,0,45,90,0,10,0.001125,0.034749035,5.58E-05,0.5,14.38888889,8961.144444,622.7822394
40000,0.5,80,1234,738173,0,40,80,0,11,0.001,0.032414911,5.42E-05,0.5,15.425,9227.1625,598.1952998
40000,0.5,70,1149,574478,0,35,70,0,9,0.000875,0.030461271,6.09E-05,0.5,16.41428571,8206.828571,499.9808529
62500,0.5,100,1054,840778,0,50,100,0,13,0.0008,0.04743833,5.95E-05,0.5,10.54,8407.78,797.7020873
62500,0.5,90,1284,752424,0,45,90,0,11,0.00072,0.035046729,5.98E-05,0.5,14.26666667,8360.266667,586
62500,0.5,80,1197,671526,0,40,80,0,11,0.00064,0.033416876,5.96E-05,0.5,14.9625,8394.075,561.0075188
62500,0.5,70,1705,588666,0,35,70,0,11,0.00056,0.020527859,5.95E-05,0.5,24.35714286,8409.514286,345.258651
62500,0.5,60,1077,433276,0,30,60,0,9,0.00048,0.027855153,6.92E-05,0.5,17.95,7221.266667,402.2989786
62500,0.5,50,1278,363449,0,25,50,0,8,0.0004,0.019561815,6.88E-05,0.5,25.56,7268.98,284.3888889
62500,1,50,3647,790708,0,50,50,0,9,0.0008,0.013709899,6.32E-05,1,72.94,15814.16,216.8105292
62500,1,60,2200,836276,0,60,60,0,8,0.00096,0.027272727,7.17E-05,1,36.66666667,13937.93333,380.1254545
62500,1,70,3847,1108697,0,70,70,0,11,0.00112,0.018195997,6.31E-05,1,54.95714286,15838.52857,288.1978165
62500,1,90,3981,1506105,0,90,90,0,13,0.00144,0.022607385,5.98E-05,1,44.23333333,16734.5,378.3232856
62500,1,100,2119,1674496,0,100,100,0,12,0.0016,0.047192072,5.97E-05,1,21.19,16744.96,790.2293535
90000,0.5,100,2021,866814,0,50,100,0,12,0.000555556,0.024740228,5.77E-05,0.5,20.21,8668.14,428.9035131
90000,0.5,90,1184,727366,0,45,90,0,11,0.0005,0.038006757,6.19E-05,0.5,13.15555556,8081.844444,614.3293919
90000,0.5,80,1987,654028,0,40,80,0,12,0.000444444,0.020130851,6.12E-05,0.5,24.8375,8175.35,329.1534977
90000,0.5,70,1396,535005,0,35,70,0,10,0.000388889,0.025071633,6.54E-05,0.5,19.94285714,7642.928571,383.241404
90000,0.5,60,1016,457165,0,30,60,0,9,0.000333333,0.029527559,6.56E-05,0.5,16.93333333,7619.416667,449.9655512
90000,0.5,50,1119,332830,0,25,50,0,8,0.000277778,0.022341376,7.51E-05,0.5,22.38,6656.6,297.43521
122500,0.5,100,1054,855746,0,50,100,0,11,0.000408163,0.04743833,5.84E-05,0.5,10.54,8557.46,811.9032258
40000,0.75,75,2446,978749,0,56.25,75,0,8,0.00140625,0.022996729,5.75E-05,0.75,32.61333333,13049.98667,400.1426819
22500,0.75,50,2104,709736,0,37.5,50,0,7,0.001666667,0.017823194,5.28E-05,0.75,42.08,14194.72,337.3269962
22500,0.75,60,1834,785306,0,45,60,0,6,0.002,0.024536532,5.73E-05,0.75,30.56666667,13088.43333,428.1930207
75625,0.75,100,1922,1351416,0,75,100,0,14,0.000991736,0.039021852,5.55E-05,0.75,19.22,13514.16,703.1300728
75625,0.75,90,2635,1075495,0,67.5,90,0,11,0.000892562,0.025616698,6.28E-05,0.75,29.27777778,11949.94444,408.1574953
75625,0.75,80,1633,1021934,0,60,80,0,11,0.000793388,0.036742192,5.87E-05,0.75,20.4125,12774.175,625.8015922
75625,0.75,70,1751,915165,0,52.5,70,0,10,0.000694215,0.029982867,5.74E-05,0.75,25.01428571,13073.78571,522.6527698
75625,0.75,60,2902,669118,0,45,60,0,9,0.000595041,0.015506547,6.73E-05,0.75,48.36666667,11151.96667,230.5713301
75625,0.5,60,1792,450631,0,30,60,0,8,0.000396694,0.016741071,6.66E-05,0.5,29.86666667,7510.516667,251.468192
75625,0.5,70,1138,612764,0,35,70,0,7,0.00046281,0.030755712,5.71E-05,0.5,16.25714286,8753.771429,538.456942
105625,0.5,100,1082,768608,0,50,100,0,13,0.000473373,0.046210721,6.51E-05,0.5,10.82,7686.08,710.3585952
105625,0.5,90,1790,725580,0,45,90,0,11,0.000426036,0.025139665,6.20E-05,0.5,19.88888889,8062,405.3519553
105625,0.5,80,1059,711166,0,40,80,0,10,0.000378698,0.037771483,5.62E-05,0.5,13.2375,8889.575,671.5448536
105625,1,100,2224,1519656,0,100,100,0,9,0.000946746,0.044964029,6.58E-05,1,22.24,15196.56,683.2985612
105625,1,90,4133,1409675,0,90,90,0,10,0.000852071,0.02177595,6.38E-05,1,45.92222222,15663.05556,341.0779095
105625,1,80,2115,1408740,0,80,80,0,12,0.000757396,0.037825059,5.68E-05,1,26.4375,17609.25,666.070922
105625,1,70,4393,1306201,0,70,70,0,9,0.000662722,0.015934441,5.36E-05,1,62.75714286,18660.01429,297.3368996
105625,1,60,4204,1021524,0,60,60,0,9,0.000568047,0.014272122,5.87E-05,1,70.06666667,17025.4,242.9885823
