Area,IEPN,TNodes,Lifetime,Throughput,RemainEngy,ConsmEngy,DeadNodes,AliveNodes,CH
40000,0.5,50,810,366373,0,25,50,0,9
10000,0.5,50,1325,583938,0,25,50,0,3
10000,1,50,2683,1171321,0,50,50,0,3
40000,1,50,1628,738347,0,50,50,0,7
40000,1,60,3326,923935,0,60,60,0,8
40000,0.5,60,1278,459482,0,30,59,1,8
40000,0.5,70,1149,574720,0,35,70,0,9
40000,0.5,80,1234,737892,0,40,80,0,11
40000,1,80,2638,1534792,0,80,80,0,11
40000,1,90,3535,1612388,0,90,90,0,9
40000,1,100,2488,1766380,0,100,100,0,11
40000,0.5,100,1336,938935,0,50,100,0,11
40000,0.5,90,1295,806503,0,45,90,0,10
40000,0.5,80,1234,738173,0,40,80,0,11
40000,0.5,70,1149,574478,0,35,70,0,9
62500,0.5,100,1054,840778,0,50,100,0,13
62500,0.5,90,1284,752424,0,45,90,0,11
62500,0.5,80,1197,671526,0,40,80,0,11
62500,0.5,70,1705,588666,0,35,70,0,11
62500,0.5,60,1077,433276,0,30,60,0,9
62500,0.5,50,1278,363449,0,25,50,0,8
62500,1,50,3647,790708,0,50,50,0,9
62500,1,60,2200,836276,0,60,60,0,8
62500,1,70,3847,1108697,0,70,70,0,11
62500,1,90,3981,1506105,0,90,90,0,13
62500,1,100,2119,1674496,0,100,100,0,12
90000,0.5,100,2021,866814,0,50,100,0,12
90000,0.5,90,1184,727366,0,45,90,0,11
90000,0.5,80,1987,654028,0,40,80,0,12
90000,0.5,70,1396,535005,0,35,70,0,10
90000,0.5,60,1016,457165,0,30,60,0,9
90000,0.5,50,1119,332830,0,25,50,0,8
122500,0.5,100,1054,855746,0,50,100,0,11
40000,0.75,75,2446,978749,0,56.25,75,0,8
22500,0.75,50,2104,709736,0,37.5,50,0,7
22500,0.75,60,1834,785306,0,45,60,0,6
75625,0.75,100,1922,1351416,0,75,100,0,14
75625,0.75,90,2635,1075495,0,67.5,90,0,11
75625,0.75,80,1633,1021934,0,60,80,0,11
75625,0.75,70,1751,915165,0,52.5,70,0,10
75625,0.75,60,2902,669118,0,45,60,0,9
75625,0.5,60,1792,450631,0,30,60,0,8
75625,0.5,70,1138,612764,0,35,70,0,7
105625,0.5,100,1082,768608,0,50,100,0,13
105625,0.5,90,1790,725580,0,45,90,0,11
105625,0.5,80,1059,711166,0,40,80,0,10
105625,1,100,2224,1519656,0,100,100,0,9
105625,1,90,4133,1409675,0,90,90,0,10
105625,1,80,2115,1408740,0,80,80,0,12
105625,1,70,4393,1306201,0,70,70,0,9
105625,1,60,4204,1021524,0,60,60,0,9

